Model,Par1,Par2,Par3,acc_m,acc_sd,pre_m,pre_sd,rec_m,rec_sd,f1s_m,f1s_sd,Time,Data
LR,lbfgs,0.1,0,0.7216666666666667,0.1703065500433096,0.7356428571428573,0.21502997866194382,0.8212857142857142,0.1811661706994319,0.7475884115884115,0.17515981214977483,0.4343898999504745,S
LR,lbfgs,1.0,0,0.7244444444444443,0.16544366091897145,0.7304603174603175,0.22165762403483658,0.8116190476190475,0.20372920090548458,0.7461693306693306,0.18765414783852596,0.5585038000717759,S
LR,lbfgs,10.0,0,0.6611111111111111,0.17771266168581457,0.6754761904761903,0.22871033036996608,0.7739523809523808,0.20615770662286675,0.6981578976578976,0.1960907403790111,0.7825910000829026,S
LR,liblinear,0.1,0,0.7058333333333333,0.16371671747334451,0.7153095238095238,0.2107294869415922,0.8212857142857142,0.1811661706994319,0.7363623043623042,0.17089966702143936,0.27956699999049306,S
LR,liblinear,1.0,0,0.7197222222222222,0.1707529169354811,0.7257936507936508,0.22596744782812003,0.8116190476190475,0.20372920090548458,0.743629648129648,0.1908342230684755,0.303967299987562,S
LR,liblinear,10.0,0,0.6658333333333333,0.16913473517280628,0.6787619047619049,0.22169592211992914,0.7846190476190474,0.1993562257916837,0.7039271284271283,0.187092190281417,0.33088339993264526,S
LR,newton-cg,0.1,0,0.7194444444444444,0.17028480137771224,0.7329761904761906,0.2150420844220088,0.8212857142857142,0.1811661706994319,0.7461338661338661,0.1750204534860222,0.40203719993587583,S
LR,newton-cg,1.0,0,0.7244444444444443,0.16544366091897145,0.7304603174603175,0.22165762403483658,0.8116190476190475,0.20372920090548458,0.7461693306693306,0.18765414783852596,0.49614499998278916,S
LR,newton-cg,10.0,0,0.6611111111111111,0.17771266168581457,0.6754761904761903,0.22871033036996608,0.7739523809523808,0.20615770662286675,0.6981578976578976,0.1960907403790111,0.5684367000358179,S
LR,newton-cholesky,0.1,0,0.7194444444444444,0.17028480137771224,0.7329761904761906,0.2150420844220088,0.8212857142857142,0.1811661706994319,0.7461338661338661,0.1750204534860222,1.9343457999639213,S
LR,newton-cholesky,1.0,0,0.7244444444444443,0.16544366091897145,0.7304603174603175,0.22165762403483658,0.8116190476190475,0.20372920090548458,0.7461693306693306,0.18765414783852596,2.2268783999606967,S
LR,newton-cholesky,10.0,0,0.6636111111111112,0.17452072818980913,0.6761428571428573,0.22727028027725957,0.7739523809523808,0.20615770662286675,0.6991102786102785,0.1941916991710526,2.6984620000002906,S
LR,lbfgs,0.1,0,0.7502777777777777,0.14998688214245542,0.7710714285714286,0.20849425757602263,0.774952380952381,0.19583777820979706,0.751165279165279,0.17505227184172226,1.749983699992299,SO
LR,lbfgs,1.0,0,0.7402777777777777,0.14756903594714704,0.7525793650793651,0.22573605494669535,0.7846190476190477,0.21020787141862507,0.7461893106893106,0.19135369789063897,1.7923235000343993,SO
LR,lbfgs,10.0,0,0.6727777777777777,0.17078612717246064,0.6868095238095238,0.22465346007284404,0.7706190476190475,0.2091905412290014,0.7038086913086913,0.18997195710084738,1.990957299945876,SO
LR,liblinear,0.1,0,0.7544444444444443,0.1529907606344454,0.7750714285714286,0.20010207287572263,0.779952380952381,0.19190599668750805,0.7579964479964479,0.1721453271860021,1.5553533000638708,SO
LR,liblinear,1.0,0,0.7286111111111111,0.1420259605029662,0.7360079365079365,0.220315842275976,0.7846190476190477,0.2075481584963791,0.7382313797313798,0.1875411722487917,1.6696990000782534,SO
LR,liblinear,10.0,0,0.6775,0.15600851709893088,0.6872460317460317,0.2207088064307349,0.7806190476190475,0.1969869466306261,0.7084761349761349,0.18339121508814163,1.6063864000607282,SO
LR,newton-cg,0.1,0,0.7502777777777777,0.14998688214245542,0.7710714285714286,0.20849425757602263,0.774952380952381,0.19583777820979706,0.751165279165279,0.17505227184172226,1.5985221998998895,SO
LR,newton-cg,1.0,0,0.7402777777777777,0.14756903594714704,0.7525793650793651,0.22573605494669535,0.7846190476190477,0.21020787141862507,0.7461893106893106,0.19135369789063897,1.6391325999284163,SO
LR,newton-cg,10.0,0,0.6705555555555555,0.17012704040376184,0.6848095238095238,0.22585928189458812,0.7706190476190475,0.2091905412290014,0.7021420246420246,0.1899249445619671,1.6974885000381619,SO
LR,newton-cholesky,0.1,0,0.7502777777777777,0.14998688214245542,0.7710714285714286,0.20849425757602263,0.774952380952381,0.19583777820979706,0.751165279165279,0.17505227184172226,3.33078109996859,SO
LR,newton-cholesky,1.0,0,0.7402777777777777,0.14756903594714704,0.7525793650793651,0.22573605494669535,0.7846190476190477,0.21020787141862507,0.7461893106893106,0.19135369789063897,3.7182669000467286,SO
LR,newton-cholesky,10.0,0,0.6727777777777777,0.17078612717246064,0.6868095238095238,0.22465346007284404,0.7706190476190475,0.2091905412290014,0.7038086913086913,0.18997195710084738,4.658600700087845,SO
LR,lbfgs,0.1,0,0.7172222222222223,0.17705495415300712,0.7375317460317461,0.219566731477427,0.8144285714285714,0.1812987974815442,0.7450260295260293,0.18198520008778668,0.5736744999885559,IS
LR,lbfgs,1.0,0,0.7202777777777777,0.1618043037624444,0.7455555555555554,0.21611307847008024,0.7966190476190476,0.1667531000367972,0.7415644910644908,0.16587458692149823,0.5745554000604898,IS
LR,lbfgs,10.0,0,0.6969444444444445,0.15734805525912027,0.7305555555555554,0.22305175387796727,0.7472857142857141,0.19068679428512933,0.7139093684093684,0.1761616115392547,0.7979438999900594,IS
LR,liblinear,0.1,0,0.7172222222222223,0.17705495415300712,0.7375317460317461,0.219566731477427,0.8144285714285714,0.1812987974815442,0.7450260295260293,0.18198520008778668,0.3417582999682054,IS
LR,liblinear,1.0,0,0.7202777777777777,0.1618043037624444,0.7455555555555554,0.21611307847008024,0.7966190476190476,0.1667531000367972,0.7415644910644908,0.16587458692149823,0.41186460002791137,IS
LR,liblinear,10.0,0,0.6969444444444445,0.15734805525912027,0.7305555555555554,0.22305175387796727,0.7472857142857141,0.19068679428512933,0.7139093684093684,0.1761616115392547,0.4509913999354467,IS
LR,newton-cg,0.1,0,0.7172222222222223,0.17705495415300712,0.7375317460317461,0.219566731477427,0.8144285714285714,0.1812987974815442,0.7450260295260293,0.18198520008778668,0.5125670999987051,IS
LR,newton-cg,1.0,0,0.7202777777777777,0.1618043037624444,0.7455555555555554,0.21611307847008024,0.7966190476190476,0.1667531000367972,0.7415644910644908,0.16587458692149823,0.4580936999991536,IS
LR,newton-cg,10.0,0,0.6969444444444445,0.15734805525912027,0.7305555555555554,0.22305175387796727,0.7472857142857141,0.19068679428512933,0.7139093684093684,0.1761616115392547,0.4720408000284806,IS
LR,newton-cholesky,0.1,0,0.7172222222222223,0.17705495415300712,0.7375317460317461,0.219566731477427,0.8144285714285714,0.1812987974815442,0.7450260295260293,0.18198520008778668,9.301514300052077,IS
LR,newton-cholesky,1.0,0,0.7202777777777777,0.1618043037624444,0.7455555555555554,0.21611307847008024,0.7966190476190476,0.1667531000367972,0.7415644910644908,0.16587458692149823,10.736071199993603,IS
LR,newton-cholesky,10.0,0,0.6969444444444445,0.15734805525912027,0.7305555555555554,0.22305175387796727,0.7472857142857141,0.19068679428512933,0.7139093684093684,0.1761616115392547,13.912271699984558,IS
LR,lbfgs,0.1,0,0.7544444444444445,0.14514892309811744,0.7650079365079365,0.19611699980880945,0.8094285714285714,0.17955093896312457,0.7651443556443555,0.16297384729109843,1.9189259000122547,ISO
LR,lbfgs,1.0,0,0.7272222222222223,0.1492201952373293,0.7551746031746032,0.22724439734560786,0.7686190476190474,0.19706157169409957,0.7375038850038849,0.18116022582583885,1.8005602000048384,ISO
LR,lbfgs,10.0,0,0.7016666666666667,0.15021178464725587,0.7388888888888888,0.22738636797894368,0.7439523809523807,0.1935028637427467,0.7151402486402485,0.17646707188458227,1.869976200046949,ISO
LR,liblinear,0.1,0,0.7588888888888888,0.14669086500714082,0.7703412698412698,0.19518086672545978,0.8094285714285714,0.17955093896312457,0.768610445110445,0.16359737340526795,1.589185499935411,ISO
LR,liblinear,1.0,0,0.7202777777777777,0.15757640709850596,0.7462222222222222,0.22735769902428762,0.7686190476190474,0.19706157169409957,0.7336149961149959,0.18368295513829305,1.7222405999200419,ISO
LR,liblinear,10.0,0,0.7038888888888889,0.1504991694329241,0.7415555555555554,0.2273055643883687,0.7439523809523807,0.1935028637427467,0.7165947940947939,0.1768603725097864,2.0078103999840096,ISO
LR,newton-cg,0.1,0,0.7544444444444445,0.14514892309811744,0.7650079365079365,0.19611699980880945,0.8094285714285714,0.17955093896312457,0.7651443556443555,0.16297384729109843,1.799989499966614,ISO
LR,newton-cg,1.0,0,0.7272222222222223,0.1492201952373293,0.7551746031746032,0.22724439734560786,0.7686190476190474,0.19706157169409957,0.7375038850038849,0.18116022582583885,1.655724999960512,ISO
LR,newton-cg,10.0,0,0.7016666666666667,0.15021178464725587,0.7388888888888888,0.22738636797894368,0.7439523809523807,0.1935028637427467,0.7151402486402485,0.17646707188458227,1.6491470999317244,ISO
LR,newton-cholesky,0.1,0,0.7544444444444445,0.14514892309811744,0.7650079365079365,0.19611699980880945,0.8094285714285714,0.17955093896312457,0.7651443556443555,0.16297384729109843,10.519009300041944,ISO
LR,newton-cholesky,1.0,0,0.7272222222222223,0.1492201952373293,0.7551746031746032,0.22724439734560786,0.7686190476190474,0.19706157169409957,0.7375038850038849,0.18116022582583885,14.061617000028491,ISO
LR,newton-cholesky,10.0,0,0.7038888888888889,0.1504991694329241,0.7415555555555554,0.2273055643883687,0.7439523809523807,0.1935028637427467,0.7165947940947939,0.1768603725097864,16.331762099987827,ISO
LR,lbfgs,0.1,0,0.6738888888888889,0.1374997194160998,0.7403095238095239,0.22725613752067586,0.6743809523809524,0.19914873257712395,0.675008658008658,0.16346878142590207,1.445765299955383,SR
LR,lbfgs,1.0,0,0.6797222222222221,0.15387008509265132,0.7433333333333333,0.23353247090284124,0.6748095238095237,0.22184859804270735,0.6747111777111776,0.19134411918390365,1.4770142000634223,SR
LR,lbfgs,10.0,0,0.6755555555555556,0.15294838958466744,0.7315714285714284,0.22864324764549152,0.6869999999999998,0.22321105902429722,0.6774126984126982,0.18148172757113,1.3938941000960767,SR
LR,liblinear,0.1,0,0.4769444444444445,0.1748149374214887,0.4791587301587302,0.2850938947935863,0.7244285714285715,0.38791751992862306,0.5212393162393163,0.2767612710764251,0.2584132000338286,SR
LR,liblinear,1.0,0,0.4747222222222222,0.17450746384688423,0.47749206349206347,0.28374607614358893,0.7210952380952381,0.3905389061133457,0.5181282051282051,0.276732734413628,0.2566536000231281,SR
LR,liblinear,10.0,0,0.4769444444444445,0.1748149374214887,0.4791587301587302,0.2850938947935863,0.7244285714285715,0.38791751992862306,0.5212393162393163,0.2767612710764251,0.25683239998761564,SR
LR,newton-cg,0.1,0,0.6341666666666665,0.16665763864437333,0.6766111111111112,0.22882000386176152,0.6801904761904761,0.24274107403763234,0.6464124764124763,0.19893536149354502,7.533413900062442,SR
LR,newton-cg,1.0,0,0.6316666666666666,0.172451460338379,0.6755000000000001,0.23243487006226426,0.6753333333333333,0.2329894258595404,0.6457220557220557,0.19850327642259158,7.485777799971402,SR
LR,newton-cg,10.0,0,0.6172222222222222,0.16655459194740155,0.6661190476190477,0.22905395620378993,0.6594761904761904,0.234647654030357,0.6298418248418248,0.1941111423472123,7.200534999952652,SR
LR,newton-cholesky,0.1,0,0.6738888888888889,0.1374997194160998,0.7403095238095239,0.22725613752067586,0.6743809523809524,0.19914873257712395,0.675008658008658,0.16346878142590207,1.4592780000530183,SR
LR,newton-cholesky,1.0,0,0.6797222222222221,0.15387008509265132,0.7433333333333333,0.23353247090284124,0.6748095238095237,0.22184859804270735,0.6747111777111776,0.19134411918390365,1.6309524000389501,SR
LR,newton-cholesky,10.0,0,0.6755555555555556,0.15294838958466744,0.7315714285714284,0.22864324764549152,0.6869999999999998,0.22321105902429722,0.6774126984126982,0.18148172757113,1.5111254999646917,SR
LR,lbfgs,0.1,0,0.6697222222222223,0.13617600493841656,0.7444047619047618,0.2345130829067363,0.6523809523809523,0.21813214493297686,0.6581823731823733,0.17957227637652554,2.5799760000081733,SRO
LR,lbfgs,1.0,0,0.6911111111111111,0.13409964969895602,0.7671904761904762,0.21753061139394622,0.6726666666666666,0.20326487082068698,0.6817968697968698,0.16042831271890967,2.5601266999728978,SRO
LR,lbfgs,10.0,0,0.6766666666666667,0.13933373205684577,0.7463333333333333,0.23133214236396754,0.6408571428571429,0.21534466388336293,0.6612934842934842,0.1850136957530275,2.554745199973695,SRO
LR,liblinear,0.1,0,0.5216666666666667,0.18285206190582012,0.4229206349206349,0.45903001788469566,0.1982857142857143,0.29311604506238803,0.22727827727827726,0.2801838974453476,1.4422069999855012,SRO
LR,liblinear,1.0,0,0.5216666666666667,0.18285206190582012,0.4229206349206349,0.45903001788469566,0.1982857142857143,0.29311604506238803,0.22727827727827726,0.2801838974453476,1.4249097999418154,SRO
LR,liblinear,10.0,0,0.5216666666666667,0.18285206190582012,0.4229206349206349,0.45903001788469566,0.1982857142857143,0.29311604506238803,0.22727827727827726,0.2801838974453476,1.40812909998931,SRO
LR,newton-cg,0.1,0,0.6225,0.17615776634021935,0.6735000000000001,0.22956860978504762,0.657,0.23902172597387114,0.633018759018759,0.19973868494222982,8.651316200033762,SRO
LR,newton-cg,1.0,0,0.6336111111111111,0.1629182651242982,0.6787063492063493,0.22594235360581524,0.6733333333333333,0.2340542798063979,0.644991896991897,0.19301808032083914,8.719598599942401,SRO
LR,newton-cg,10.0,0,0.6263888888888889,0.16109315033985694,0.6792301587301587,0.22401709402458098,0.6648095238095239,0.2340868736155297,0.638101787101787,0.18961113160357954,8.410562000004575,SRO
LR,newton-cholesky,0.1,0,0.6697222222222223,0.13617600493841656,0.7444047619047618,0.2345130829067363,0.6523809523809523,0.21813214493297686,0.6581823731823733,0.17957227637652554,2.9574666999978945,SRO
LR,newton-cholesky,1.0,0,0.6911111111111111,0.13409964969895602,0.7671904761904762,0.21753061139394622,0.6726666666666666,0.20326487082068698,0.6817968697968698,0.16042831271890967,2.931485899956897,SRO
