P,R,M
0.5581395348837209,1.0,LR.S.lbfgs
0.5571095571095571,0.9958333333333333,LR.S.lbfgs
0.5560747663551402,0.9916666666666667,LR.S.lbfgs
0.5550351288056206,0.9875,LR.S.lbfgs
0.5539906103286385,0.9833333333333333,LR.S.lbfgs
0.5529411764705883,0.9791666666666666,LR.S.lbfgs
0.5518867924528302,0.975,LR.S.lbfgs
0.5508274231678487,0.9708333333333333,LR.S.lbfgs
0.5497630331753555,0.9666666666666667,LR.S.lbfgs
0.5486935866983373,0.9625,LR.S.lbfgs
0.5476190476190477,0.9583333333333334,LR.S.lbfgs
0.5465393794749404,0.9541666666666667,LR.S.lbfgs
0.5454545454545454,0.95,LR.S.lbfgs
0.5443645083932853,0.9458333333333333,LR.S.lbfgs
0.5456730769230769,0.9458333333333333,LR.S.lbfgs
0.5445783132530121,0.9416666666666667,LR.S.lbfgs
0.5434782608695652,0.9375,LR.S.lbfgs
0.5447941888619855,0.9375,LR.S.lbfgs
0.5436893203883495,0.9333333333333333,LR.S.lbfgs
0.5425790754257908,0.9291666666666667,LR.S.lbfgs
0.5414634146341464,0.925,LR.S.lbfgs
0.5427872860635696,0.925,LR.S.lbfgs
0.5416666666666666,0.9208333333333333,LR.S.lbfgs
0.5405405405405406,0.9166666666666666,LR.S.lbfgs
0.541871921182266,0.9166666666666666,LR.S.lbfgs
0.5407407407407407,0.9125,LR.S.lbfgs
0.5396039603960396,0.9083333333333333,LR.S.lbfgs
0.5384615384615384,0.9041666666666667,LR.S.lbfgs
0.5398009950248757,0.9041666666666667,LR.S.lbfgs
0.5411471321695761,0.9041666666666667,LR.S.lbfgs
0.5425,0.9041666666666667,LR.S.lbfgs
0.543859649122807,0.9041666666666667,LR.S.lbfgs
0.5452261306532663,0.9041666666666667,LR.S.lbfgs
0.5440806045340051,0.9,LR.S.lbfgs
0.5454545454545454,0.9,LR.S.lbfgs
0.5468354430379747,0.9,LR.S.lbfgs
0.5482233502538071,0.9,LR.S.lbfgs
0.5470737913486005,0.8958333333333334,LR.S.lbfgs
0.548469387755102,0.8958333333333334,LR.S.lbfgs
0.5473145780051151,0.8916666666666667,LR.S.lbfgs
0.5487179487179488,0.8916666666666667,LR.S.lbfgs
0.5501285347043702,0.8916666666666667,LR.S.lbfgs
0.5489690721649485,0.8875,LR.S.lbfgs
0.5503875968992248,0.8875,LR.S.lbfgs
0.5518134715025906,0.8875,LR.S.lbfgs
0.5532467532467532,0.8875,LR.S.lbfgs
0.5546875,0.8875,LR.S.lbfgs
0.5535248041775457,0.8833333333333333,LR.S.lbfgs
0.5549738219895288,0.8833333333333333,LR.S.lbfgs
