Chemical,SMILES,Inhib
Acrylamide,C=CC(=O)N,0
1-Aminoethanol,CC(N)O,1
Aniline,C1=CC=C(C=C1)N,0
1-Butanol,CCCCO,0
Diethylene Glycol,C(COCCO)O,0
Ethanol,CCO,0
Ethylene Glycol,C(CO)O,0
Glutaraldehyde,C(CC=O)CC=O,0
Lactose,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,0
Maelic Anhydride,C1=CC(=O)OC1=O,1
Menthol,CC1CCC(C(C1)O)C(C)C,0
Methacrylic Acid,CC(=C)C(=O)O,0
Methyl Dihydrojasmonate,CCCCCC1C(CCC1=O)CC(=O)OC,0
Propionic Acid,CCC(=O)O,0
Propylene Glycol,CC(CO)O,1
Sodium Glycocholate,CC(CCC(=O)NCC(=O)[O-])C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C.[Na+],1
Sodium Taurocholate,CC(CCC(=O)NCCS(=O)(=O)[O-])C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C.[Na+],1
Sodium Taurodeoxycholate,CC(CCC(=O)NCCS(=O)(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],1
Triton X-100,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCO,1
Captan,C1C=CCC2C1C(=O)N(C2=O)SC(Cl)(Cl)Cl,0
m-Xylylenediamine,C1=CC(=CC(=C1)CN)CN,0
1-Ethyl-2-pyrrolidinone,CCN1CCCC1=O,0
"2-Butyne-1,4-diol",C(C#CCO)O,0
"6-Phenyl-1,3,5-triazine-2,4-diamine",C1=CC=C(C=C1)C2=NC(=NC(=N2)N)N,0
Potassium nitrate,[N+](=O)([O-])[O-].[K+],0
Tetrahydrofuran-3-carbaldehyde,C1COCC1C=O,0
a-ThuJone,CC1C2CC2(CC1=O)C(C)C,1
"1-(5,6,7,8-Tetrahydronaphthalen-2-yl)ethanone",CC(=O)C1=CC2=C(CCCC2)C=C1,1
Etaspirene,CCC1=CCCC(C12C=CC(O2)C)(C)C,1
1-Phenylethenyl acetate,CC(=O)OC(=C)C1=CC=CC=C1,1
"2-Buten-1-one, 1-(2,2-dimethyl-6-methylenecyclohexyl)-",CC=CC(=O)C1C(=C)CCCC1(C)C,1
2-Tridecenal,CCCCCCCCCCC=CC=O,1
"Benzeneacetonitrile, alpha-butylidene-, (alphaZ)-",CCCC=C(C#N)C1=CC=CC=C1,1
(3-Methoxy-2-methylpropyl)benzene,CC(CC1=CC=CC=C1)COC,1
9-Undecenal,CC=CCCCCCCCC=O,1
(Vinyloxy)cyclohexane,C=COC1CCCCC1,1
Diisopentyl ether,CC(C)CCOCCC(C)C,1
Decamethylcyclopentasiloxane,C[Si]1(O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)C,1
Ethyl acrylate,CCOC(=O)C=C,1
Methyl acrylate,COC(=O)C=C,1
Methyl laurate,CCCCCCCCCCCC(=O)OC,1
Methyl undec-10-enoate,COC(=O)CCCCCCCCC=C,1
Trimethoxyoctylsilane,CCCCCCCC[Si](OC)(OC)OC,1
