P,R,M
0.34810126582278483,1.0,MLP.S.False.20
0.3483217226092464,1.0,MLP.S.False.20
0.3485424588086185,1.0,MLP.S.False.20
0.34876347495244137,1.0,MLP.S.False.20
0.3489847715736041,1.0,MLP.S.False.20
0.3492063492063492,1.0,MLP.S.False.20
0.34942820838627703,1.0,MLP.S.False.20
0.34965034965034963,1.0,MLP.S.False.20
0.34987277353689566,1.0,MLP.S.False.20
0.35009548058561424,1.0,MLP.S.False.20
0.3503184713375796,1.0,MLP.S.False.20
0.3505417463352454,1.0,MLP.S.False.20
0.350765306122449,1.0,MLP.S.False.20
0.3509891512444161,1.0,MLP.S.False.20
0.351213282247765,1.0,MLP.S.False.20
0.3514376996805112,1.0,MLP.S.False.20
0.3516624040920716,1.0,MLP.S.False.20
0.35188739603326935,1.0,MLP.S.False.20
0.352112676056338,1.0,MLP.S.False.20
0.3523382447149263,1.0,MLP.S.False.20
0.3525641025641026,1.0,MLP.S.False.20
0.3527902501603592,1.0,MLP.S.False.20
0.35301668806161746,1.0,MLP.S.False.20
0.35324341682723187,1.0,MLP.S.False.20
0.35347043701799485,1.0,MLP.S.False.20
0.3536977491961415,1.0,MLP.S.False.20
0.3539253539253539,1.0,MLP.S.False.20
0.3541532517707663,1.0,MLP.S.False.20
0.3543814432989691,1.0,MLP.S.False.20
0.3546099290780142,1.0,MLP.S.False.20
0.3548387096774194,1.0,MLP.S.False.20
0.35506778566817304,1.0,MLP.S.False.20
0.355297157622739,1.0,MLP.S.False.20
0.3555268261150614,1.0,MLP.S.False.20
0.35575679172056923,1.0,MLP.S.False.20
0.3559870550161812,1.0,MLP.S.False.20
0.35621761658031087,1.0,MLP.S.False.20
0.356448476992871,1.0,MLP.S.False.20
0.35667963683527887,1.0,MLP.S.False.20
0.3569110966904607,1.0,MLP.S.False.20
0.35714285714285715,1.0,MLP.S.False.20
0.35737491877842753,1.0,MLP.S.False.20
0.3576072821846554,1.0,MLP.S.False.20
0.357839947950553,1.0,MLP.S.False.20
0.3580729166666667,1.0,MLP.S.False.20
0.3583061889250814,1.0,MLP.S.False.20
0.35853976531942633,1.0,MLP.S.False.20
0.3587736464448793,1.0,MLP.S.False.20
0.35900783289817234,1.0,MLP.S.False.20
0.35924232527759636,1.0,MLP.S.False.20
0.35947712418300654,1.0,MLP.S.False.20
0.3597122302158273,1.0,MLP.S.False.20
0.3599476439790576,1.0,MLP.S.False.20
0.3601833660772757,1.0,MLP.S.False.20
0.36041939711664484,1.0,MLP.S.False.20
0.36065573770491804,1.0,MLP.S.False.20
0.36089238845144356,1.0,MLP.S.False.20
0.36112934996717005,1.0,MLP.S.False.20
0.36136662286465177,1.0,MLP.S.False.20
0.3616042077580539,1.0,MLP.S.False.20
0.3618421052631579,1.0,MLP.S.False.20
