Model,Param_1,Param_2,Param_3,Accuracy,Precision,Recall,F1_Score,Time,Data
LR,lbfgs,0,0,0.857540323,0.878948052,0.688708004,0.765557179,0.6545465,S
LR,liblinear,0,0,0.857540323,0.878948052,0.688708004,0.765557179,0.5278009,S
LR,newton-cg,0,0,0.858165323,0.878948052,0.690041338,0.766557179,0.5284249,S
LR,newton-cholesky,0,0,0.858165323,0.878948052,0.690041338,0.766557179,2.618391,S
LR,lbfgs,0,0,0.849455645,0.812879787,0.74403743,0.768159115,2.1075552,SO
LR,liblinear,0,0,0.850766129,0.810205128,0.75506074,0.771603623,2.020733,SO
LR,newton-cg,0,0,0.848810484,0.812602009,0.741815208,0.766851925,1.9306987,SO
LR,newton-cholesky,0,0,0.849435484,0.813649628,0.741815208,0.767528848,4.3766479,SO
LR,lbfgs,0,0,0.856915323,0.870792929,0.693095098,0.76484749,0.7568338,IS
LR,liblinear,0,0,0.856915323,0.870792929,0.693095098,0.76484749,0.9961128,IS
LR,newton-cg,0,0,0.856915323,0.870792929,0.693095098,0.76484749,0.8100901,IS
LR,newton-cholesky,0,0,0.856270161,0.870435786,0.691428431,0.763479069,13.8781499,IS
LR,lbfgs,0,0,0.852560484,0.818609835,0.739660105,0.769914167,2.3467396,ISO
LR,liblinear,0,0,0.849375,0.810501166,0.737834708,0.76508864,2.9900178,ISO
LR,newton-cg,0,0,0.852560484,0.81807992,0.739660105,0.769418088,2.2506994,ISO
LR,newton-cholesky,0,0,0.853185484,0.820222777,0.739660105,0.770418088,15.6941162,ISO
LR,lbfgs,0,0,0.859435484,0.879076257,0.693136576,0.768554737,0.3497532,SR
LR,liblinear,0,0,0.859415323,0.872908869,0.701636576,0.771706622,0.2935162,SR
LR,newton-cg,0,0,0.859435484,0.879076257,0.693136576,0.768554737,0.3602542,SR
LR,newton-cholesky,0,0,0.859435484,0.879076257,0.693136576,0.768554737,0.3874226,SR
LR,lbfgs,0,0,0.846915323,0.807652514,0.741535487,0.764487294,1.7495891,SRO
LR,liblinear,0,0,0.848245968,0.802083944,0.759932535,0.76954675,1.7000764,SRO
LR,newton-cg,0,0,0.846290323,0.807288878,0.739997026,0.763400337,1.7066519,SRO
LR,newton-cholesky,0,0,0.846290323,0.807288878,0.739997026,0.763400337,1.9536322,SRO
LR,lbfgs,0,0,0.858830645,0.872381674,0.700174463,0.769160562,0.3624583,ISR
LR,liblinear,0,0,0.856229839,0.849907648,0.714135427,0.769713424,0.2902407,ISR
LR,newton-cg,0,0,0.858830645,0.872381674,0.700174463,0.769160562,0.3627391,ISR
LR,newton-cholesky,0,0,0.858830645,0.872381674,0.700174463,0.769160562,0.3962092,ISR
LR,lbfgs,0,0,0.850645161,0.815703463,0.738341423,0.767259507,1.7224631,ISRO
LR,liblinear,0,0,0.842439516,0.791723332,0.745230312,0.759003922,1.6501389,ISRO
LR,newton-cg,0,0,0.850645161,0.815703463,0.738341423,0.767259507,1.6997233,ISRO
LR,newton-cholesky,0,0,0.850645161,0.815703463,0.738341423,0.767259507,1.9182195,ISRO
SVM,linear,0,0,0.833608871,0.802216561,0.705035194,0.739525322,0.6599223,S
SVM,poly,0,0,0.830423387,0.916062049,0.564681975,0.688999856,0.6720396,S
SVM,rbf,0,0,0.773306452,0.878214286,0.404311551,0.541040426,0.8911098,S
SVM,sigmoid,0,0,0.651774194,0,0,0,0.8068915,S
SVM,linear,0,0,0.817983871,0.757573072,0.723701139,0.72623873,2.1550688,SO
SVM,poly,0,0,0.83858871,0.823964924,0.687869066,0.741234287,2.2747602,SO
SVM,rbf,0,0,0.804415323,0.780465035,0.630927119,0.680371526,2.7111641,SO
SVM,sigmoid,0,0,0.720524194,0.686574296,0.462787405,0.504926559,2.7381477,SO
