F,T,M
0,0,LR.S.lbfgs
0,0.001818182,LR.S.lbfgs
0,0.269090909,LR.S.lbfgs
0.000970874,0.269090909,LR.S.lbfgs
0.000970874,0.270909091,LR.S.lbfgs
0.001941748,0.270909091,LR.S.lbfgs
0.001941748,0.294545455,LR.S.lbfgs
0.002912621,0.294545455,LR.S.lbfgs
0.002912621,0.298181818,LR.S.lbfgs
0.003883495,0.298181818,LR.S.lbfgs
0.003883495,0.369090909,LR.S.lbfgs
0.004854369,0.369090909,LR.S.lbfgs
0.004854369,0.370909091,LR.S.lbfgs
0.005825243,0.370909091,LR.S.lbfgs
0.005825243,0.383636364,LR.S.lbfgs
0.006796117,0.383636364,LR.S.lbfgs
0.006796117,0.385454545,LR.S.lbfgs
0.00776699,0.385454545,LR.S.lbfgs
0.00776699,0.407272727,LR.S.lbfgs
0.008737864,0.407272727,LR.S.lbfgs
0.008737864,0.418181818,LR.S.lbfgs
0.009708738,0.418181818,LR.S.lbfgs
0.009708738,0.423636364,LR.S.lbfgs
0.010679612,0.423636364,LR.S.lbfgs
0.010679612,0.427272727,LR.S.lbfgs
0.011650485,0.427272727,LR.S.lbfgs
0.011650485,0.447272727,LR.S.lbfgs
0.013592233,0.447272727,LR.S.lbfgs
0.013592233,0.454545455,LR.S.lbfgs
0.014563107,0.454545455,LR.S.lbfgs
0.014563107,0.48,LR.S.lbfgs
0.015533981,0.48,LR.S.lbfgs
0.015533981,0.494545455,LR.S.lbfgs
0.017475728,0.494545455,LR.S.lbfgs
0.017475728,0.496363636,LR.S.lbfgs
0.018446602,0.496363636,LR.S.lbfgs
0.018446602,0.503636364,LR.S.lbfgs
0.019417476,0.503636364,LR.S.lbfgs
0.019417476,0.514545455,LR.S.lbfgs
0.021359223,0.514545455,LR.S.lbfgs
0.021359223,0.523636364,LR.S.lbfgs
0.022330097,0.523636364,LR.S.lbfgs
0.022330097,0.529090909,LR.S.lbfgs
0.023300971,0.529090909,LR.S.lbfgs
0.023300971,0.532727273,LR.S.lbfgs
0.024271845,0.532727273,LR.S.lbfgs
0.024271845,0.534545455,LR.S.lbfgs
0.025242718,0.534545455,LR.S.lbfgs
0.025242718,0.541818182,LR.S.lbfgs
0.026213592,0.541818182,LR.S.lbfgs
0.026213592,0.547272727,LR.S.lbfgs
0.027184466,0.547272727,LR.S.lbfgs
0.027184466,0.570909091,LR.S.lbfgs
0.02815534,0.570909091,LR.S.lbfgs
0.02815534,0.594545455,LR.S.lbfgs
0.029126214,0.594545455,LR.S.lbfgs
0.029126214,0.616363636,LR.S.lbfgs
0.030097087,0.616363636,LR.S.lbfgs
0.030097087,0.62,LR.S.lbfgs
0.031067961,0.62,LR.S.lbfgs
0.031067961,0.621818182,LR.S.lbfgs
0.032038835,0.621818182,LR.S.lbfgs
0.032038835,0.634545455,LR.S.lbfgs
0.033980583,0.634545455,LR.S.lbfgs
0.033980583,0.638181818,LR.S.lbfgs
0.034951456,0.638181818,LR.S.lbfgs
0.034951456,0.64,LR.S.lbfgs
0.03592233,0.64,LR.S.lbfgs
0.03592233,0.647272727,LR.S.lbfgs
0.036893204,0.647272727,LR.S.lbfgs
0.036893204,0.654545455,LR.S.lbfgs
0.037864078,0.654545455,LR.S.lbfgs
0.037864078,0.66,LR.S.lbfgs
0.038834951,0.66,LR.S.lbfgs
0.038834951,0.667272727,LR.S.lbfgs
0.042718447,0.667272727,LR.S.lbfgs
0.042718447,0.672727273,LR.S.lbfgs
0.04368932,0.672727273,LR.S.lbfgs
0.04368932,0.678181818,LR.S.lbfgs
0.045631068,0.678181818,LR.S.lbfgs
0.045631068,0.683636364,LR.S.lbfgs
0.049514563,0.683636364,LR.S.lbfgs
0.049514563,0.687272727,LR.S.lbfgs
0.050485437,0.687272727,LR.S.lbfgs
0.050485437,0.689090909,LR.S.lbfgs
0.053398058,0.689090909,LR.S.lbfgs
0.053398058,0.692727273,LR.S.lbfgs
0.054368932,0.692727273,LR.S.lbfgs
0.054368932,0.698181818,LR.S.lbfgs
0.055339806,0.698181818,LR.S.lbfgs
0.055339806,0.7,LR.S.lbfgs
0.057281553,0.7,LR.S.lbfgs
0.057281553,0.703636364,LR.S.lbfgs
0.059223301,0.703636364,LR.S.lbfgs
0.059223301,0.705454545,LR.S.lbfgs
0.062135922,0.705454545,LR.S.lbfgs
0.062135922,0.710909091,LR.S.lbfgs
0.063106796,0.710909091,LR.S.lbfgs
0.063106796,0.714545455,LR.S.lbfgs
0.065048544,0.714545455,LR.S.lbfgs
0.065048544,0.716363636,LR.S.lbfgs
0.066019417,0.716363636,LR.S.lbfgs
0.066019417,0.718181818,LR.S.lbfgs
0.066990291,0.718181818,LR.S.lbfgs
0.066990291,0.721818182,LR.S.lbfgs
0.07184466,0.721818182,LR.S.lbfgs
0.07184466,0.730909091,LR.S.lbfgs
0.072815534,0.730909091,LR.S.lbfgs
0.072815534,0.732727273,LR.S.lbfgs
0.075728155,0.732727273,LR.S.lbfgs
0.075728155,0.734545455,LR.S.lbfgs
0.081553398,0.734545455,LR.S.lbfgs
0.081553398,0.736363636,LR.S.lbfgs
0.083495146,0.736363636,LR.S.lbfgs
0.083495146,0.741818182,LR.S.lbfgs
0.086407767,0.741818182,LR.S.lbfgs
0.086407767,0.747272727,LR.S.lbfgs
0.089320388,0.747272727,LR.S.lbfgs
0.089320388,0.749090909,LR.S.lbfgs
0.091262136,0.749090909,LR.S.lbfgs
0.091262136,0.752727273,LR.S.lbfgs
0.093203883,0.752727273,LR.S.lbfgs
0.093203883,0.754545455,LR.S.lbfgs
0.105825243,0.754545455,LR.S.lbfgs
0.105825243,0.756363636,LR.S.lbfgs
0.106796117,0.756363636,LR.S.lbfgs
0.106796117,0.76,LR.S.lbfgs
0.108737864,0.76,LR.S.lbfgs
0.108737864,0.767272727,LR.S.lbfgs
0.110679612,0.767272727,LR.S.lbfgs
0.110679612,0.769090909,LR.S.lbfgs
0.113592233,0.769090909,LR.S.lbfgs
0.113592233,0.770909091,LR.S.lbfgs
0.114563107,0.770909091,LR.S.lbfgs
0.114563107,0.772727273,LR.S.lbfgs
0.117475728,0.772727273,LR.S.lbfgs
0.117475728,0.774545455,LR.S.lbfgs
0.12038835,0.774545455,LR.S.lbfgs
0.12038835,0.776363636,LR.S.lbfgs
0.123300971,0.776363636,LR.S.lbfgs
0.123300971,0.778181818,LR.S.lbfgs
0.130097087,0.778181818,LR.S.lbfgs
0.130097087,0.78,LR.S.lbfgs
0.133009709,0.78,LR.S.lbfgs
0.133009709,0.781818182,LR.S.lbfgs
0.133980583,0.781818182,LR.S.lbfgs
0.133980583,0.787272727,LR.S.lbfgs
0.140776699,0.787272727,LR.S.lbfgs
0.140776699,0.789090909,LR.S.lbfgs
0.147572816,0.789090909,LR.S.lbfgs
0.147572816,0.790909091,LR.S.lbfgs
0.152427184,0.790909091,LR.S.lbfgs
0.152427184,0.794545455,LR.S.lbfgs
0.154368932,0.794545455,LR.S.lbfgs
0.154368932,0.798181818,LR.S.lbfgs
0.157281553,0.798181818,LR.S.lbfgs
0.157281553,0.8,LR.S.lbfgs
0.159223301,0.8,LR.S.lbfgs
0.159223301,0.801818182,LR.S.lbfgs
0.162135922,0.801818182,LR.S.lbfgs
0.162135922,0.803636364,LR.S.lbfgs
0.17184466,0.803636364,LR.S.lbfgs
0.17184466,0.805454545,LR.S.lbfgs
0.172815534,0.805454545,LR.S.lbfgs
0.172815534,0.807272727,LR.S.lbfgs
0.175728155,0.807272727,LR.S.lbfgs
0.175728155,0.810909091,LR.S.lbfgs
0.177669903,0.810909091,LR.S.lbfgs
0.177669903,0.812727273,LR.S.lbfgs
0.180582524,0.812727273,LR.S.lbfgs
0.180582524,0.814545455,LR.S.lbfgs
0.185436893,0.814545455,LR.S.lbfgs
0.185436893,0.816363636,LR.S.lbfgs
0.195145631,0.816363636,LR.S.lbfgs
0.195145631,0.818181818,LR.S.lbfgs
0.199029126,0.818181818,LR.S.lbfgs
0.199029126,0.82,LR.S.lbfgs
0.200970874,0.82,LR.S.lbfgs
0.200970874,0.823636364,LR.S.lbfgs
0.201941748,0.823636364,LR.S.lbfgs
0.201941748,0.827272727,LR.S.lbfgs
0.205825243,0.827272727,LR.S.lbfgs
0.205825243,0.829090909,LR.S.lbfgs
0.226213592,0.829090909,LR.S.lbfgs
0.226213592,0.830909091,LR.S.lbfgs
0.22815534,0.830909091,LR.S.lbfgs
0.22815534,0.832727273,LR.S.lbfgs
0.234951456,0.832727273,LR.S.lbfgs
0.234951456,0.834545455,LR.S.lbfgs
0.240776699,0.834545455,LR.S.lbfgs
0.240776699,0.836363636,LR.S.lbfgs
0.241747573,0.836363636,LR.S.lbfgs
0.241747573,0.838181818,LR.S.lbfgs
0.246601942,0.838181818,LR.S.lbfgs
0.246601942,0.84,LR.S.lbfgs
0.247572816,0.84,LR.S.lbfgs
0.247572816,0.843636364,LR.S.lbfgs
0.250485437,0.843636364,LR.S.lbfgs
0.250485437,0.845454545,LR.S.lbfgs
0.252427184,0.845454545,LR.S.lbfgs
0.252427184,0.849090909,LR.S.lbfgs
0.259223301,0.849090909,LR.S.lbfgs
0.259223301,0.852727273,LR.S.lbfgs
0.260194175,0.852727273,LR.S.lbfgs
0.260194175,0.856363636,LR.S.lbfgs
0.275728155,0.856363636,LR.S.lbfgs
0.275728155,0.858181818,LR.S.lbfgs
0.276699029,0.858181818,LR.S.lbfgs
0.276699029,0.861818182,LR.S.lbfgs
0.278640777,0.861818182,LR.S.lbfgs
0.278640777,0.863636364,LR.S.lbfgs
0.27961165,0.863636364,LR.S.lbfgs
0.27961165,0.865454545,LR.S.lbfgs
0.280582524,0.865454545,LR.S.lbfgs
0.280582524,0.867272727,LR.S.lbfgs
0.282524272,0.867272727,LR.S.lbfgs
0.282524272,0.869090909,LR.S.lbfgs
0.298058252,0.869090909,LR.S.lbfgs
0.298058252,0.870909091,LR.S.lbfgs
0.299029126,0.870909091,LR.S.lbfgs
0.299029126,0.872727273,LR.S.lbfgs
0.304854369,0.872727273,LR.S.lbfgs
0.304854369,0.876363636,LR.S.lbfgs
0.30776699,0.876363636,LR.S.lbfgs
0.30776699,0.88,LR.S.lbfgs
0.312621359,0.88,LR.S.lbfgs
0.312621359,0.881818182,LR.S.lbfgs
0.316504854,0.881818182,LR.S.lbfgs
0.316504854,0.883636364,LR.S.lbfgs
0.318446602,0.883636364,LR.S.lbfgs
0.318446602,0.885454545,LR.S.lbfgs
0.32038835,0.885454545,LR.S.lbfgs
0.32038835,0.887272727,LR.S.lbfgs
0.322330097,0.887272727,LR.S.lbfgs
0.322330097,0.890909091,LR.S.lbfgs
0.323300971,0.890909091,LR.S.lbfgs
0.323300971,0.892727273,LR.S.lbfgs
0.331067961,0.892727273,LR.S.lbfgs
0.331067961,0.894545455,LR.S.lbfgs
0.34368932,0.894545455,LR.S.lbfgs
0.34368932,0.898181818,LR.S.lbfgs
0.346601942,0.898181818,LR.S.lbfgs
0.346601942,0.9,LR.S.lbfgs
0.365048544,0.9,LR.S.lbfgs
0.365048544,0.901818182,LR.S.lbfgs
0.366019417,0.901818182,LR.S.lbfgs
0.366019417,0.905454545,LR.S.lbfgs
0.370873786,0.905454545,LR.S.lbfgs
0.370873786,0.907272727,LR.S.lbfgs
0.373786408,0.907272727,LR.S.lbfgs
0.373786408,0.909090909,LR.S.lbfgs
0.376699029,0.909090909,LR.S.lbfgs
0.376699029,0.912727273,LR.S.lbfgs
0.380582524,0.912727273,LR.S.lbfgs
0.380582524,0.914545455,LR.S.lbfgs
0.387378641,0.914545455,LR.S.lbfgs
0.387378641,0.916363636,LR.S.lbfgs
0.396116505,0.916363636,LR.S.lbfgs
0.396116505,0.918181818,LR.S.lbfgs
0.4,0.918181818,LR.S.lbfgs
0.4,0.92,LR.S.lbfgs
0.400970874,0.92,LR.S.lbfgs
0.400970874,0.921818182,LR.S.lbfgs
0.402912621,0.921818182,LR.S.lbfgs
0.402912621,0.923636364,LR.S.lbfgs
0.408737864,0.923636364,LR.S.lbfgs
