"","M","AUC"
"1","GBT.IS.3.0.1",0.732410270664374
"2","GBT.IS.3.1",0.740173485034835
"3","GBT.IS.3.10",0.43777970432106
"4","GBT.IS.6.0.1",0.734482013574324
"5","GBT.IS.6.1",0.740173485034835
"6","GBT.IS.6.10",0.43777970432106
"7","GBT.ISO.3.0.1",0.736357836137514
"8","GBT.ISO.3.1",0.744728048675669
"9","GBT.ISO.3.10",0.779069767441861
"10","GBT.ISO.6.0.1",0.734939640341904
"11","GBT.ISO.6.1",0.744728048675669
"12","GBT.ISO.6.10",0.779069767441861
"13","GBT.ISR.3.0.1",0.594447685832914
"14","GBT.ISR.3.1",0.566447808041105
"15","GBT.ISR.3.10",0.43777970432106
"16","GBT.ISR.6.0.1",0.591451729317422
"17","GBT.ISR.6.1",0.566691518321629
"18","GBT.ISR.6.10",0.43777970432106
"19","GBT.ISRO.3.0.1",0.595445243801065
"20","GBT.ISRO.3.1",0.573787036208489
"21","GBT.ISRO.3.10",0.779069767441861
"22","GBT.ISRO.6.0.1",0.596641896059017
"23","GBT.ISRO.6.1",0.56888213499803
"24","GBT.ISRO.6.10",0.779069767441861
"25","GBT.S.3.0.1",0.703332353402208
"26","GBT.S.3.1",0.704976709677892
"27","GBT.S.3.10",0.43777970432106
"28","GBT.S.6.0.1",0.701476415641114
"29","GBT.S.6.1",0.704976709677892
"30","GBT.S.6.10",0.43777970432106
"31","GBT.SO.3.0.1",0.71781505454824
"32","GBT.SO.3.1",0.714086640889954
"33","GBT.SO.3.10",0.779069767441861
"34","GBT.SO.6.0.1",0.721278801778964
"35","GBT.SO.6.1",0.714219584925314
"36","GBT.SO.6.10",0.779069767441861
"37","GBT.SR.3.0.1",0.505673168829153
"38","GBT.SR.3.1",0.506111632286745
"39","GBT.SR.3.10",0.43777970432106
"40","GBT.SR.6.0.1",0.495771358442836
"41","GBT.SR.6.1",0.50438423761827
"42","GBT.SR.6.10",0.43777970432106
"43","GBT.SRO.3.0.1",0.509451149527548
"44","GBT.SRO.3.1",0.518693434165618
"45","GBT.SRO.3.10",0.779069767441861
"46","GBT.SRO.6.0.1",0.502149138331776
"47","GBT.SRO.6.1",0.52166234995075
"48","GBT.SRO.6.10",0.779069767441861
"49","LR.IS.lbfgs.0.1",0.817760056792445
"50","LR.IS.lbfgs.1",0.832069830153308
"51","LR.IS.lbfgs.10",0.821915061894064
"52","LR.IS.liblinear.0.1",0.820120589134438
"53","LR.IS.liblinear.1",0.833511717315895
"54","LR.IS.liblinear.10",0.821210780238567
"55","LR.IS.newton-cg.0.1",0.817789807751594
