"","M","AUC"
"1","GBT.IS.3.0.1",0.738059210526316
"2","GBT.IS.3.1",0.741540570175439
"3","GBT.IS.3.10",0.317894736842105
"4","GBT.IS.6.0.1",0.740219298245614
"5","GBT.IS.6.1",0.741540570175439
"6","GBT.IS.6.10",0.317894736842105
"7","GBT.ISO.3.0.1",0.751705043859649
"8","GBT.ISO.3.1",0.75172149122807
"9","GBT.ISO.3.10",0.5
"10","GBT.ISO.6.0.1",0.750570175438596
"11","GBT.ISO.6.1",0.75172149122807
"12","GBT.ISO.6.10",0.5
"13","GBT.ISR.3.0.1",0.570762061403509
"14","GBT.ISR.3.1",0.546726973684211
"15","GBT.ISR.3.10",0.317894736842105
"16","GBT.ISR.6.0.1",0.56219298245614
"17","GBT.ISR.6.1",0.546951754385965
"18","GBT.ISR.6.10",0.317894736842105
"19","GBT.ISRO.3.0.1",0.577351973684211
"20","GBT.ISRO.3.1",0.563881578947368
"21","GBT.ISRO.3.10",0.5
"22","GBT.ISRO.6.0.1",0.57186951754386
"23","GBT.ISRO.6.1",0.554747807017544
"24","GBT.ISRO.6.10",0.5
"25","GBT.S.3.0.1",0.746748903508772
"26","GBT.S.3.1",0.74590350877193
"27","GBT.S.3.10",0.317894736842105
"28","GBT.S.6.0.1",0.747521929824561
"29","GBT.S.6.1",0.74590350877193
"30","GBT.S.6.10",0.317894736842105
"31","GBT.SO.3.0.1",0.763917214912281
"32","GBT.SO.3.1",0.757527412280702
"33","GBT.SO.3.10",0.5
"34","GBT.SO.6.0.1",0.765389254385965
"35","GBT.SO.6.1",0.757900219298246
"36","GBT.SO.6.10",0.5
"37","GBT.SR.3.0.1",0.44046600877193
"38","GBT.SR.3.1",0.443919956140351
"39","GBT.SR.3.10",0.317894736842105
"40","GBT.SR.6.0.1",0.430328947368421
"41","GBT.SR.6.1",0.441628289473684
"42","GBT.SR.6.10",0.317894736842105
"43","GBT.SRO.3.0.1",0.448064692982456
"44","GBT.SRO.3.1",0.466951754385965
"45","GBT.SRO.3.10",0.5
"46","GBT.SRO.6.0.1",0.432390350877193
"47","GBT.SRO.6.1",0.470816885964912
"48","GBT.SRO.6.10",0.5
"49","LR.IS.lbfgs.0.1",0.753558114035088
"50","LR.IS.lbfgs.1",0.768170687134503
"51","LR.IS.lbfgs.10",0.76234466374269
"52","LR.IS.liblinear.0.1",0.755597587719298
"53","LR.IS.liblinear.1",0.768938230994152
"54","LR.IS.liblinear.10",0.762319078947368
"55","LR.IS.newton-cg.0.1",0.753563596491228
"56","LR.IS.newton-cg.1",0.768040935672515
"57","LR.IS.newton-cg.10",0.762107090643275
"58","LR.IS.newton-cholesky.0.1",0.753558114035088
"59","LR.IS.newton-cholesky.1",0.767887426900585
"60","LR.IS.newton-cholesky.10",0.762061403508772
"61","LR.ISO.lbfgs.0.1",0.769769736842105
"62","LR.ISO.lbfgs.1",0.775497076023392
"63","LR.ISO.lbfgs.10",0.764961622807018
"64","LR.ISO.liblinear.0.1",0.77093201754386
"65","LR.ISO.liblinear.1",0.774674707602339
"66","LR.ISO.liblinear.10",0.764660087719298
"67","LR.ISO.newton-cg.0.1",0.769780701754386
"68","LR.ISO.newton-cg.1",0.77530519005848
"69","LR.ISO.newton-cg.10",0.765405701754386
"70","LR.ISO.newton-cholesky.0.1",0.769736842105263
"71","LR.ISO.newton-cholesky.1",0.775222953216374
"72","LR.ISO.newton-cholesky.10",0.7646875
"73","LR.ISR.lbfgs.0.1",0.753552631578947
"74","LR.ISR.lbfgs.1",0.76781615497076
"75","LR.ISR.lbfgs.10",0.761924342105263
"76","LR.ISR.liblinear.0.1",0.782706505847953
"77","LR.ISR.liblinear.1",0.782752192982456
"78","LR.ISR.liblinear.10",0.770277777777778
"79","LR.ISR.newton-cg.0.1",0.753558114035088
"80","LR.ISR.newton-cg.1",0.767849049707602
"81","LR.ISR.newton-cg.10",0.761633771929825
"82","LR.ISR.newton-cholesky.0.1",0.753525219298246
"83","LR.ISR.newton-cholesky.1",0.767827119883041
"84","LR.ISR.newton-cholesky.10",0.761809210526316
"85","LR.ISRO.lbfgs.0.1",0.769703947368421
"86","LR.ISRO.lbfgs.1",0.775365497076023
"87","LR.ISRO.lbfgs.10",0.764588815789474
"88","LR.ISRO.liblinear.0.1",0.781885964912281
"89","LR.ISRO.liblinear.1",0.785285087719298
"90","LR.ISRO.liblinear.10",0.771953581871345
"91","LR.ISRO.newton-cg.0.1",0.769709429824561
"92","LR.ISRO.newton-cg.1",0.775135233918129
"93","LR.ISRO.newton-cg.10",0.764429824561404
"94","LR.ISRO.newton-cholesky.0.1",0.769736842105263
"95","LR.ISRO.newton-cholesky.1",0.775217470760234
"96","LR.ISRO.newton-cholesky.10",0.764588815789474
"97","LR.S.lbfgs.0.1",0.743651315789474
"98","LR.S.lbfgs.1",0.745851608187134
"99","LR.S.lbfgs.10",0.711860380116959
"100","LR.S.liblinear.0.1",0.745632309941521
"101","LR.S.liblinear.1",0.747119883040936
"102","LR.S.liblinear.10",0.713603801169591
"103","LR.S.newton-cg.0.1",0.743673245614035
"104","LR.S.newton-cg.1",0.746138523391813
"105","LR.S.newton-cg.10",0.71234283625731
"106","LR.S.newton-cholesky.0.1",0.743634868421053
"107","LR.S.newton-cholesky.1",0.746105628654971
"108","LR.S.newton-cholesky.10",0.712326388888889
"109","LR.SO.lbfgs.0.1",0.76422149122807
"110","LR.SO.lbfgs.1",0.752865497076023
"111","LR.SO.lbfgs.10",0.716160453216374
"112","LR.SO.liblinear.0.1",0.766986476608187
"113","LR.SO.liblinear.1",0.754173976608187
"114","LR.SO.liblinear.10",0.716125730994152
"115","LR.SO.newton-cg.0.1",0.764155701754386
"116","LR.SO.newton-cg.1",0.752909356725146
"117","LR.SO.newton-cg.10",0.715895467836257
"118","LR.SO.newton-cholesky.0.1",0.764205043859649
"119","LR.SO.newton-cholesky.1",0.752870979532164
"120","LR.SO.newton-cholesky.10",0.716471125730994
"121","LR.SR.lbfgs.0.1",0.705670687134503
"122","LR.SR.lbfgs.1",0.701107456140351
"123","LR.SR.lbfgs.10",0.703404605263158
"124","LR.SR.liblinear.0.1",0.456875
"125","LR.SR.liblinear.1",0.453952850877193
"126","LR.SR.liblinear.10",0.456875
"127","LR.SR.newton-cg.0.1",0.681277412280702
"128","LR.SR.newton-cg.1",0.67296600877193
"129","LR.SR.newton-cg.10",0.659961622807018
"130","LR.SR.newton-cholesky.0.1",0.705670687134503
"131","LR.SR.newton-cholesky.1",0.701107456140351
"132","LR.SR.newton-cholesky.10",0.703404605263158
"133","LR.SRO.lbfgs.0.1",0.704956140350877
"134","LR.SRO.lbfgs.1",0.70811951754386
"135","LR.SRO.lbfgs.10",0.707059576023392
"136","LR.SRO.liblinear.0.1",0.532070540935673
"137","LR.SRO.liblinear.1",0.532070540935673
"138","LR.SRO.liblinear.10",0.532070540935673
"139","LR.SRO.newton-cg.0.1",0.667156432748538
"140","LR.SRO.newton-cg.1",0.679819078947368
"141","LR.SRO.newton-cg.10",0.667881944444444
"142","LR.SRO.newton-cholesky.0.1",0.704956140350877
"143","LR.SRO.newton-cholesky.1",0.70811951754386
"144","LR.SRO.newton-cholesky.10",0.707059576023392
"145","MLP.IS.False.20",0.944521198830409
"146","MLP.IS.False.40",0.961425438596491
"147","MLP.IS.True.20",0.950904605263158
"148","MLP.IS.True.40",0.968802997076023
"149","MLP.ISO.False.20",0.972224049707602
"150","MLP.ISO.False.40",0.976120248538012
"151","MLP.ISO.True.20",0.973888888888889
"152","MLP.ISO.True.40",0.97734831871345
"153","MLP.ISR.False.20",0.982012061403509
"154","MLP.ISR.False.40",0.989409722222222
"155","MLP.ISR.True.20",0.986800073099415
"156","MLP.ISR.True.40",0.988965643274854
"157","MLP.ISRO.False.20",0.989700292397661
"158","MLP.ISRO.False.40",0.987373903508772
"159","MLP.ISRO.True.20",0.989046052631579
"160","MLP.ISRO.True.40",0.987980628654971
"161","MLP.S.False.20",0.938936403508772
"162","MLP.S.False.40",0.956765350877193
"163","MLP.S.True.20",0.94249269005848
"164","MLP.S.True.40",0.961619152046784
"165","MLP.SO.False.20",0.95624817251462
"166","MLP.SO.False.40",0.961602704678363
"167","MLP.SO.True.20",0.965400219298246
"168","MLP.SO.True.40",0.974075292397661
"169","MLP.SR.False.20",0.539406067251462
"170","MLP.SR.False.40",0.538097587719298
"171","MLP.SR.True.20",0.495413011695906
"172","MLP.SR.True.40",0.537001096491228
"173","MLP.SRO.False.20",0.578410087719298
"174","MLP.SRO.False.40",0.56453399122807
"175","MLP.SRO.True.20",0.578523391812865
"176","MLP.SRO.True.40",0.559491959064327
"177","PFN.ISR._",0.327757675438597
"178","PFN.ISRO._",0.384358552631579
"179","PFN.SR._",0.298004385964912
"180","PFN.SRO._",0.334418859649123
"181","RF.IS.100.3",0.738832236842105
"182","RF.IS.100.6",0.740063961988304
"183","RF.IS.200.3",0.748965643274854
"184","RF.IS.200.6",0.750559210526316
"185","RF.IS.50.3",0.73843201754386
"186","RF.IS.50.6",0.737887426900585
"187","RF.ISO.100.3",0.755657894736842
"188","RF.ISO.100.6",0.754758771929825
"189","RF.ISO.200.3",0.75890716374269
"190","RF.ISO.200.6",0.760676900584795
"191","RF.ISO.50.3",0.755758406432748
"192","RF.ISO.50.6",0.755372807017544
"193","RF.ISR.100.3",0.573788377192982
"194","RF.ISR.100.6",0.581949926900585
"195","RF.ISR.200.3",0.581025219298246
"196","RF.ISR.200.6",0.585920138888889
"197","RF.ISR.50.3",0.551798245614035
"198","RF.ISR.50.6",0.558132309941521
"199","RF.ISRO.100.3",0.616940789473684
"200","RF.ISRO.100.6",0.619470029239766
"201","RF.ISRO.200.3",0.606699561403509
"202","RF.ISRO.200.6",0.616080043859649
"203","RF.ISRO.50.3",0.572850877192982
"204","RF.ISRO.50.6",0.582291666666667
"205","RF.S.100.3",0.731343201754386
"206","RF.S.100.6",0.736189028442318
"207","RF.S.200.3",0.730279605263158
"208","RF.S.200.6",0.734103435672515
"209","RF.S.50.3",0.72297149122807
"210","RF.S.50.6",0.725970394736842
"211","RF.SO.100.3",0.740744700292398
"212","RF.SO.100.6",0.740337719298246
"213","RF.SO.200.3",0.741134868421053
"214","RF.SO.200.6",0.743523334102801
"215","RF.SO.50.3",0.745230263157895
"216","RF.SO.50.6",0.746529605263158
"217","RF.SR.100.3",0.505
"218","RF.SR.100.6",0.50546783625731
"219","RF.SR.200.3",0.503316885964912
"220","RF.SR.200.6",0.499908625730994
"221","RF.SR.50.3",0.493256578947368
"222","RF.SR.50.6",0.493218201754386
"223","RF.SRO.100.3",0.528459429824561
"224","RF.SRO.100.6",0.516105628654971
"225","RF.SRO.200.3",0.529824561403509
"226","RF.SRO.200.6",0.524906798245614
"227","RF.SRO.50.3",0.546326754385965
"228","RF.SRO.50.6",0.532379385964912
"229","SVM.IS.linear.0.1",0.737057748538012
"230","SVM.IS.linear.1",0.604259868421053
"231","SVM.IS.linear.10",0.604259868421053
"232","SVM.IS.poly.0.1",0.604983552631579
"233","SVM.IS.poly.1",0.759599780701754
"234","SVM.IS.poly.10",0.648969298245614
"235","SVM.IS.rbf.0.1",0.433519736842105
"236","SVM.IS.rbf.1",0.679599780701754
"237","SVM.IS.rbf.10",0.726036184210526
"238","SVM.IS.sigmoid.0.1",0.452258771929825
"239","SVM.IS.sigmoid.1",0.415328947368421
"240","SVM.IS.sigmoid.10",0.664091739766082
"241","SVM.ISO.linear.0.1",0.758850511695906
"242","SVM.ISO.linear.1",0.678393640350877
"243","SVM.ISO.linear.10",0.678393640350877
"244","SVM.ISO.poly.0.1",0.729205043859649
"245","SVM.ISO.poly.1",0.772929459064328
"246","SVM.ISO.poly.10",0.69485197368421
"247","SVM.ISO.rbf.0.1",0.315570175438597
"248","SVM.ISO.rbf.1",0.739574195906433
"249","SVM.ISO.rbf.10",0.737319078947368
"250","SVM.ISO.sigmoid.0.1",0.49
"251","SVM.ISO.sigmoid.1",0.320460526315789
"252","SVM.ISO.sigmoid.10",0.73656615497076
"253","SVM.ISR.linear.0.1",0.737041301169591
"254","SVM.ISR.linear.1",0.604259868421053
"255","SVM.ISR.linear.10",0.604259868421053
"256","SVM.ISR.poly.0.1",0.415460526315789
"257","SVM.ISR.poly.1",0.430813230994152
"258","SVM.ISR.poly.10",0.669194078947368
"259","SVM.ISR.rbf.0.1",0.435729166666667
"260","SVM.ISR.rbf.1",0.722165570175439
"261","SVM.ISR.rbf.10",0.704923245614035
"262","SVM.ISR.sigmoid.0.1",0.387527412280702
"263","SVM.ISR.sigmoid.1",0.704161184210526
"264","SVM.ISR.sigmoid.10",0.70610014619883
"265","SVM.ISRO.linear.0.1",0.758828581871345
"266","SVM.ISRO.linear.1",0.678393640350877
"267","SVM.ISRO.linear.10",0.678393640350877
"268","SVM.ISRO.poly.0.1",0.446781798245614
"269","SVM.ISRO.poly.1",0.585093201754386
"270","SVM.ISRO.poly.10",0.716494883040936
