"","M","AUC"
"1","GBT.IS.10",0.832548408517176
"2","GBT.IS.3",0.835618980626785
"3","GBT.IS.5",0.832452686796127
"4","GBT.ISO.10",0.849641723320661
"5","GBT.ISO.3",0.856889144086006
"6","GBT.ISO.5",0.85177871202985
"7","GBT.ISR.10",0.655541105728365
"8","GBT.ISR.3",0.676173376284489
"9","GBT.ISR.5",0.655597787183147
"10","GBT.ISRO.10",0.665464820021835
"11","GBT.ISRO.3",0.671541845945905
"12","GBT.ISRO.5",0.66518000059453
"13","GBT.S.10",0.856362753211039
"14","GBT.S.3",0.862768730392547
"15","GBT.S.5",0.851647247430782
"16","GBT.SO.10",0.848890477147037
"17","GBT.SO.3",0.852899979382878
"18","GBT.SO.5",0.848873576530933
"19","GBT.SR.10",0.535756644434401
"20","GBT.SR.3",0.551609119655821
"21","GBT.SR.5",0.538762905227489
"22","GBT.SRO.10",0.538210279785072
"23","GBT.SRO.3",0.529476352327324
"24","GBT.SRO.5",0.533127587574587
"25","LR.IS.lbfgs",0.863237504984366
"26","LR.IS.liblinear",0.863254863767777
"27","LR.IS.newton-cg",0.863273446743671
"28","LR.IS.newton-cholesky",0.86278645440577
"29","LR.ISO.lbfgs",0.858338898933182
"30","LR.ISO.liblinear",0.85776354076715
"31","LR.ISO.newton-cg",0.858286498969432
"32","LR.ISO.newton-cholesky",0.858033371323517
"33","LR.ISR.lbfgs",0.862188452247946
"34","LR.ISR.liblinear",0.86446735732149
"35","LR.ISR.newton-cg",0.862176044915107
"36","LR.ISR.newton-cholesky",0.862128930612102
"37","LR.ISRO.lbfgs",0.85620849662721
"38","LR.ISRO.liblinear",0.857302689658177
"39","LR.ISRO.newton-cg",0.856062712990616
"40","LR.ISRO.newton-cholesky",0.856055390978723
"41","LR.S.lbfgs",0.867817608956825
"42","LR.S.liblinear",0.868644332799432
"43","LR.S.newton-cg",0.867584455124377
"44","LR.S.newton-cholesky",0.867478209746933
"45","LR.SO.lbfgs",0.864684652957376
"46","LR.SO.liblinear",0.864691355169727
"47","LR.SO.newton-cg",0.864440156279353
"48","LR.SO.newton-cholesky",0.86429374112263
"49","LR.SR.lbfgs",0.867467021980565
"50","LR.SR.liblinear",0.868164611007631
"51","LR.SR.newton-cg",0.867416891649671
"52","LR.SR.newton-cholesky",0.867398551479781
"53","LR.SRO.lbfgs",0.863874527955078
"54","LR.SRO.liblinear",0.863992046064121
"55","LR.SRO.newton-cg",0.86383729039502
"56","LR.SRO.newton-cholesky",0.863845052050463
"57","MLP.IS.False.20",0.963348456809
"58","MLP.IS.False.40",0.957094514206172
"59","MLP.IS.True.20",0.96059630586863
"60","MLP.IS.True.40",0.957065542387173
"61","MLP.ISO.False.20",0.957533596689882
"62","MLP.ISO.False.40",0.957454608668945
"63","MLP.ISO.True.20",0.950877239129129
"64","MLP.ISO.True.40",0.949360990951094
"65","MLP.ISR.False.20",0.988647314953326
"66","MLP.ISR.False.40",0.988450113026897
"67","MLP.ISR.True.20",0.987327190578236
"68","MLP.ISR.True.40",0.987444237096102
"69","MLP.ISRO.False.20",0.987152665396519
"70","MLP.ISRO.False.40",0.987679437784434
"71","MLP.ISRO.True.20",0.987352301285884
"72","MLP.ISRO.True.40",0.985682931046152
"73","MLP.S.False.20",0.940920344303319
"74","MLP.S.False.40",0.943250450082895
"75","MLP.S.True.20",0.945306374770287
"76","MLP.S.True.40",0.941111679091916
"77","MLP.SO.False.20",0.940062887964886
"78","MLP.SO.False.40",0.944139570379223
"79","MLP.SO.True.20",0.940316279925734
"80","MLP.SO.True.40",0.942455515342232
"81","MLP.SR.False.20",0.983336284734087
"82","MLP.SR.False.40",0.984012249557878
"83","MLP.SR.True.20",0.983484985283179
"84","MLP.SR.True.40",0.984245975357962
"85","MLP.SRO.False.20",0.982938982503174
"86","MLP.SRO.False.40",0.984441830672064
"87","MLP.SRO.True.20",0.983420406279307
"88","MLP.SRO.True.40",0.983189060248181
"89","PFN.ISR._",0.668661102343157
"90","PFN.ISRO._",0.650507928103106
"91","PFN.SR._",0.641477368702987
"92","PFN.SRO._",0.621758568169347
"93","RF.IS.100.10",0.837633765337352
"94","RF.IS.100.5",0.827190544022963
"95","RF.IS.300.10",0.8340909400215
"96","RF.IS.300.5",0.824940755720036
"97","RF.IS.50.10",0.81120297976314
"98","RF.IS.50.5",0.805615842536734
"99","RF.ISO.100.10",0.827351353203973
"100","RF.ISO.100.5",0.822982537526094
"101","RF.ISO.300.10",0.82608743948648
"102","RF.ISO.300.5",0.817599525511161
"103","RF.ISO.50.10",0.818584849109715
"104","RF.ISO.50.5",0.816220004246262
"105","RF.ISR.100.10",0.725250183360612
"106","RF.ISR.100.5",0.714145975531622
"107","RF.ISR.300.10",0.739831297917058
"108","RF.ISR.300.5",0.735491893167819
"109","RF.ISR.50.10",0.680368692739748
"110","RF.ISR.50.5",0.695017264589956
"111","RF.ISRO.100.10",0.682219371226058
"112","RF.ISRO.100.5",0.692290580541744
"113","RF.ISRO.300.10",0.745873828455803
"114","RF.ISRO.300.5",0.735935410896744
"115","RF.ISRO.50.10",0.657781647982366
"116","RF.ISRO.50.5",0.658089413637936
"117","RF.S.100.10",0.835849555185741
"118","RF.S.100.5",0.826775882777301
"119","RF.S.300.10",0.84162507609326
"120","RF.S.300.5",0.832427943329719
"121","RF.S.50.10",0.832138822571795
"122","RF.S.50.5",0.826384046628889
"123","RF.SO.100.10",0.825400617850587
"124","RF.SO.100.5",0.820428028496666
"125","RF.SO.300.10",0.82363211914968
"126","RF.SO.300.5",0.816664372200903
"127","RF.SO.50.10",0.818138409857314
"128","RF.SO.50.5",0.806644740059577
"129","RF.SR.100.10",0.606025618679091
"130","RF.SR.100.5",0.592902834078904
"131","RF.SR.300.10",0.616968657523324
"132","RF.SR.300.5",0.607870164585245
"133","RF.SR.50.10",0.607128860241766
"134","RF.SR.50.5",0.597611372100688
"135","RF.SRO.100.10",0.607292767184294
"136","RF.SRO.100.5",0.59851509228353
"137","RF.SRO.300.10",0.635838440527214
"138","RF.SRO.300.5",0.620511265221946
"139","RF.SRO.50.10",0.582264475727737
"140","RF.SRO.50.5",0.561719440076325
"141","SVM.IS.linear",0.803619641665798
"142","SVM.IS.poly",0.864090337788333
"143","SVM.IS.rbf",0.811550595320718
"144","SVM.IS.sigmoid",0.71601729573472
"145","SVM.ISO.linear",0.776612589212881
"146","SVM.ISO.poly",0.849011143183051
"147","SVM.ISO.rbf",0.825255701909817
"148","SVM.ISO.sigmoid",0.305759585603641
"149","SVM.ISR.linear",0.790233994342962
"150","SVM.ISR.poly",0.787252310645939
"151","SVM.ISR.rbf",0.848732888871617
"152","SVM.ISR.sigmoid",0.643977936023838
"153","SVM.ISRO.linear",0.757314263365498
"154","SVM.ISRO.poly",0.800257398189097
"155","SVM.ISRO.rbf",0.853281032100753
"156","SVM.ISRO.sigmoid",0.614656859375675
"157","SVM.S.linear",0.828683205277333
"158","SVM.S.poly",0.833896703384885
"159","SVM.S.rbf",0.814583376991432
