"","M","AUC"
"1","GBT.IS.10",0.885794939697288
"2","GBT.IS.3",0.886704913212813
"3","GBT.IS.5",0.885922992021789
"4","GBT.ISO.10",0.895253498866424
"5","GBT.ISO.3",0.899767494586135
"6","GBT.ISO.5",0.8945572226831
"7","GBT.ISR.10",0.785448955548489
"8","GBT.ISR.3",0.794611650458897
"9","GBT.ISR.5",0.789545013257454
"10","GBT.ISRO.10",0.797148425972142
"11","GBT.ISRO.3",0.792826713769931
"12","GBT.ISRO.5",0.800827155054922
"13","GBT.S.10",0.900350397105369
"14","GBT.S.3",0.903049646916534
"15","GBT.S.5",0.897463665756361
"16","GBT.SO.10",0.896323624537554
"17","GBT.SO.3",0.900753603943872
"18","GBT.SO.5",0.899869079098751
"19","GBT.SR.10",0.696233009745318
"20","GBT.SR.3",0.708510150017904
"21","GBT.SR.5",0.70066593118801
"22","GBT.SRO.10",0.689911591626436
"23","GBT.SRO.3",0.694032656673588
"24","GBT.SRO.5",0.696042365398279
"25","LR.IS.lbfgs",0.893805089659363
"26","LR.IS.liblinear",0.893768902569915
"27","LR.IS.newton-cg",0.893698293547373
"28","LR.IS.newton-cholesky",0.893020300026265
"29","LR.ISO.lbfgs",0.890583553938654
"30","LR.ISO.liblinear",0.888851868168044
"31","LR.ISO.newton-cg",0.890476757829545
"32","LR.ISO.newton-cholesky",0.890022065244135
"33","LR.ISR.lbfgs",0.893074286459615
"34","LR.ISR.liblinear",0.895785230866165
"35","LR.ISR.newton-cg",0.893028390630184
"36","LR.ISR.newton-cholesky",0.89299132089766
"37","LR.ISRO.lbfgs",0.889235657509206
"38","LR.ISRO.liblinear",0.889007207965913
"39","LR.ISRO.newton-cg",0.889172256515724
"40","LR.ISRO.newton-cholesky",0.88913298025868
"41","LR.S.lbfgs",0.899385407449038
"42","LR.S.liblinear",0.900081641663892
"43","LR.S.newton-cg",0.899095910542921
"44","LR.S.newton-cholesky",0.899019711662608
"45","LR.SO.lbfgs",0.896536628418342
"46","LR.SO.liblinear",0.89622565458886
"47","LR.SO.newton-cg",0.89625066194431
"48","LR.SO.newton-cholesky",0.896154457149089
"49","LR.SR.lbfgs",0.898694321823248
"50","LR.SR.liblinear",0.899635186795533
"51","LR.SR.newton-cg",0.898668726053266
"52","LR.SR.newton-cholesky",0.898657693394042
"53","LR.SRO.lbfgs",0.895563695186259
"54","LR.SRO.liblinear",0.895517505138763
"55","LR.SRO.newton-cg",0.895443954070259
"56","LR.SRO.newton-cholesky",0.895438217072743
"57","MLP.IS.False.20",0.972809649897029
"58","MLP.IS.False.40",0.967740659017358
"59","MLP.IS.True.20",0.968477787584584
"60","MLP.IS.True.40",0.968731832892027
"61","MLP.ISO.False.20",0.969523536334216
"62","MLP.ISO.False.40",0.969101647543395
"63","MLP.ISO.True.20",0.963657105030891
"64","MLP.ISO.True.40",0.961845101500441
"65","MLP.ISR.False.20",0.992147249190938
"66","MLP.ISR.False.40",0.991907472786114
"67","MLP.ISR.True.20",0.990704766107679
"68","MLP.ISR.True.40",0.990987790526626
"69","MLP.ISRO.False.20",0.991178729037952
"70","MLP.ISRO.False.40",0.99110105913504
"71","MLP.ISRO.True.20",0.991199323330391
"72","MLP.ISRO.True.40",0.989498528979112
"73","MLP.S.False.20",0.955249485142689
"74","MLP.S.False.40",0.955229626360694
"75","MLP.S.True.20",0.958130332450721
"76","MLP.S.True.40",0.956056192997941
"77","MLP.SO.False.20",0.95346425419241
"78","MLP.SO.False.40",0.955950720800235
"79","MLP.SO.True.20",0.953313621653427
"80","MLP.SO.True.40",0.956144601353339
"81","MLP.SR.False.20",0.9885
"82","MLP.SR.False.40",0.988343189173286
"83","MLP.SR.True.20",0.988173727566931
"84","MLP.SR.True.40",0.988112974404237
"85","MLP.SRO.False.20",0.988372462488967
"86","MLP.SRO.False.40",0.988580317740512
"87","MLP.SRO.True.20",0.988323918799647
"88","MLP.SRO.True.40",0.987922477199176
"89","PFN.ISR._",0.784346719623419
"90","PFN.ISRO._",0.767787584583701
"91","PFN.SR._",0.746587231538688
"92","PFN.SRO._",0.724736098852604
"93","RF.IS.100.10",0.89157332474887
"94","RF.IS.100.5",0.885494557248195
"95","RF.IS.300.10",0.889804222208999
"96","RF.IS.300.5",0.884363783514188
"97","RF.IS.50.10",0.87624652965415
"98","RF.IS.50.5",0.874366137106948
"99","RF.ISO.100.10",0.885190487813896
"100","RF.ISO.100.5",0.881793762920621
"101","RF.ISO.300.10",0.884323107800047
"102","RF.ISO.300.5",0.879065313387111
"103","RF.ISO.50.10",0.878588310300631
"104","RF.ISO.50.5",0.877726684341614
"105","RF.ISR.100.10",0.816618702710363
"106","RF.ISR.100.5",0.813357163841553
"107","RF.ISR.300.10",0.827742075383619
"108","RF.ISR.300.5",0.824200794335485
"109","RF.ISR.50.10",0.800724572291776
"110","RF.ISR.50.5",0.800475286837955
"111","RF.ISRO.100.10",0.788285799329178
"112","RF.ISRO.100.5",0.794877169756809
"113","RF.ISRO.300.10",0.820876382732546
"114","RF.ISRO.300.5",0.816315092668422
"115","RF.ISRO.50.10",0.758615887027097
"116","RF.ISRO.50.5",0.760498823149597
"117","RF.S.100.10",0.886128428719895
"118","RF.S.100.5",0.882094292398566
"119","RF.S.300.10",0.887931299256102
"120","RF.S.300.5",0.883240953214453
"121","RF.S.50.10",0.88153346572789
"122","RF.S.50.5",0.880885260364042
"123","RF.SO.100.10",0.884507570401148
"124","RF.SO.100.5",0.88256237129704
"125","RF.SO.300.10",0.882867267720615
"126","RF.SO.300.5",0.878938511389481
"127","RF.SO.50.10",0.880321214321274
"128","RF.SO.50.5",0.875444395435774
"129","RF.SR.100.10",0.773095616366167
"130","RF.SR.100.5",0.768915269202034
"131","RF.SR.300.10",0.785473962895655
"132","RF.SR.300.5",0.781602824345508
"133","RF.SR.50.10",0.772899029127843
"134","RF.SR.50.5",0.770409532225671
"135","RF.SRO.100.10",0.742592747880627
"136","RF.SRO.100.5",0.744127243288198
"137","RF.SRO.300.10",0.761023698109786
"138","RF.SRO.300.5",0.753042365391606
"139","RF.SRO.50.10",0.734898058238747
"140","RF.SRO.50.5",0.720268019986097
"141","SVM.IS.linear",0.861114592508029
"142","SVM.IS.poly",0.894707928730415
"143","SVM.IS.rbf",0.868370991465229
"144","SVM.IS.sigmoid",0.788023095007227
"145","SVM.ISO.linear",0.839136951975744
"146","SVM.ISO.poly",0.882792880199172
"147","SVM.ISO.rbf",0.873577522782146
"148","SVM.ISO.sigmoid",0.427707855081637
"149","SVM.ISR.linear",0.856444101196761
"150","SVM.ISR.poly",0.825907619856209
"151","SVM.ISR.rbf",0.889413798186305
"152","SVM.ISR.sigmoid",0.751300382487864
"153","SVM.ISRO.linear",0.827056634241868
"154","SVM.ISRO.poly",0.838156443057237
"155","SVM.ISRO.rbf",0.891305089668953
"156","SVM.ISRO.sigmoid",0.743396881435006
"157","SVM.S.linear",0.874881729901784
"158","SVM.S.poly",0.881403648088139
"159","SVM.S.rbf",0.866230508910566
"160","SVM.S.sigmoid",0.797348484828731
"161","SVM.SO.linear",0.850709473359972
"162","SVM.SO.poly",0.883116210621905
"163","SVM.SO.rbf",0.86624124740016
"164","SVM.SO.sigmoid",0.68374521915937
"165","SVM.SR.linear",0.872799058540809
"166","SVM.SR.poly",0.804539276250009
"167","SVM.SR.rbf",0.8702053544506
"168","SVM.SR.sigmoid",0.745693733458723
"169","SVM.SRO.linear",0.847841423914437
"170","SVM.SRO.poly",0.822396440090312
"171","SVM.SRO.rbf",0.882033392170343
"172","SVM.SRO.sigmoid",0.752815828197008
